unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
10W,WS1DATAV2,West Division,839,252,30.04,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,WS3502,Central Division,621,3,0.48,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS3502,Northeast Division,261,2,0.77,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS3502,South Division,691,5,0.72,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS3502,West Division,839,1,0.12,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,WS3508,Central Division,621,1,0.16,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,WS3508,Northeast Division,261,8,3.07,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,WS3508,South Division,691,2,0.29,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,WS3508,West Division,839,8,0.95,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,WS3518,Canada Division,75,1,1.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture Return,,,,,Furniture,,,VAPS - A La Carte
10W,WS3548,Northeast Division,261,1,0.38,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,TechSuite/BIM,,,,,Miscellaneous,,,VAPS - A La Carte
10W,WS3705,West Division,839,1,0.12,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Appliance - Rental,,,,,Appliances,,,VAPS - A La Carte
10W,WS4020,Central Division,621,53,8.53,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
