unit_code,vaps_code,division,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
40W,WSBASP1CA,Northeast Division,967,86,8.89,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1CA,South Division,2149,116,5.40,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1CA,West Division,1145,46,4.02,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1LR,Canada Division,98,1,1.02,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1LR,Central Division,2617,70,2.67,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1LR,Northeast Division,967,41,4.24,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1LR,South Division,2149,64,2.98,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1LR,West Division,1145,11,0.96,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Lunchroom Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Basic,VAPS MAPPING
40W,WSBASP1O,Canada Division,98,4,4.08,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
40W,WSBASP1O,Central Division,2617,498,19.03,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
40W,WSBASP1O,Northeast Division,967,177,18.30,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
40W,WSBASP1O,South Division,2149,374,17.40,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
40W,WSBASP1O,West Division,1145,195,17.03,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Basic,VAPS MAPPING
40W,WSBASP1WS,Central Division,2617,3,0.11,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Workstation Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Workstation Packages,Basic,VAPS MAPPING
40W,WSBASP1WS,Northeast Division,967,1,0.10,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Workstation Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Workstation Packages,Basic,VAPS MAPPING
40W,WSBASP1WS,West Division,1145,2,0.17,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Workstation Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Workstation Packages,Basic,VAPS MAPPING
40W,WSBASPCU,Central Division,2617,2,0.08,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cubicle Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Cubicle Packages,Basic,VAPS MAPPING
40W,WSBASPCU,South Division,2149,11,0.51,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Basic Cubicle Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Cubicle Packages,Basic,VAPS MAPPING
40W,WSCDLAR,Canada Division,98,11,11.22,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLAR,Central Division,2617,558,21.32,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLAR,Northeast Division,967,84,8.69,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLAR,South Division,2149,189,8.79,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLAR,West Division,1145,162,14.15,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLDR,Canada Division,98,2,2.04,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLDR,Central Division,2617,208,7.95,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLDR,Northeast Division,967,41,4.24,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLDR,South Division,2149,124,5.77,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCDLDR,West Division,1145,112,9.78,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Disc Lock Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Basic,VAPS MAPPING
40W,WSCGRAR,Canada Division,98,3,3.06,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRAR,Central Division,2617,35,1.34,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRAR,Northeast Division,967,6,0.62,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRAR,South Division,2149,19,0.88,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRAR,West Division,1145,15,1.31,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Alike - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRDR,Canada Division,98,6,6.12,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRDR,Central Division,2617,27,1.03,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRDR,Northeast Division,967,19,1.96,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRDR,South Division,2149,23,1.07,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCGRDR,West Division,1145,12,1.05,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Container Guard Keyed Different - Rental,Office & Meeting Space,Ground Level Spaces,Combo Offices (Container + Storage),L3 - Complete Your Space,Security & Protection,Unit Security,Professional,VAPS MAPPING
40W,WSCI10K,Central Division,2617,83,3.17,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
40W,WSCI10K,Northeast Division,967,15,1.55,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
40W,WSCI10K,South Division,2149,53,2.47,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
40W,WSCI10K,West Division,1145,54,4.72,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $10K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 3,VAPS MAPPING
40W,WSCI20K,Central Division,2617,62,2.37,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $20K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 4,VAPS MAPPING
40W,WSCI20K,South Division,2149,9,0.42,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $20K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 4,VAPS MAPPING
40W,WSCI20K,West Division,1145,106,9.26,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $20K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 4,VAPS MAPPING
40W,WSCI2K,Central Division,2617,19,0.73,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $2K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 1,VAPS MAPPING
40W,WSCI2K,Northeast Division,967,5,0.52,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $2K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 1,VAPS MAPPING
40W,WSCI2K,South Division,2149,7,0.33,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $2K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 1,VAPS MAPPING
40W,WSCI2K,West Division,1145,17,1.48,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $2K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 1,VAPS MAPPING
40W,WSCI5K,Central Division,2617,21,0.80,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
40W,WSCI5K,South Division,2149,22,1.02,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
40W,WSCI5K,West Division,1145,75,6.55,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,CONTENTS INSURANCE - $5K TIER,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Option 2,VAPS MAPPING
40W,WSMCLR,Canada Division,98,6,6.12,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
40W,WSMCLR,Central Division,2617,63,2.41,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
40W,WSMCLR,Northeast Division,967,12,1.24,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
40W,WSMCLR,South Division,2149,25,1.16,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
40W,WSMCLR,West Division,1145,5,0.44,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Magnetic Container Light - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Lighting,Magnetic Lights,Unique,VAPS MAPPING
40W,WSPLAN1,Central Division,2617,55,2.10,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
40W,WSPLAN1,Northeast Division,967,20,2.07,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
40W,WSPLAN1,South Division,2149,22,1.02,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
40W,WSPLAN1,West Division,1145,25,2.18,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Planning Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Planning Package,Unique,VAPS MAPPING
40W,WSPREP1O,Canada Division,98,1,1.02,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
40W,WSPREP1O,Central Division,2617,15,0.57,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
40W,WSPREP1O,Northeast Division,967,1,0.10,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
40W,WSPREP1O,South Division,2149,12,0.56,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
40W,WSPREP1O,West Division,1145,8,0.70,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Premium Office Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Office Packages,Premium,VAPS MAPPING
40W,WSPROEP1O,Central Division,2617,1,0.04,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Prof Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Professional,VAPS MAPPING
40W,WSPROEP1O,South Division,2149,1,0.05,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Prof Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Professional,VAPS MAPPING
40W,WSPROEP1O,West Division,1145,2,0.17,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Prof Ergo Office Package - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Workspaces,Ergonomic Packages,Professional,VAPS MAPPING
40W,WSPROP1C,Central Division,2617,39,1.49,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Professional,VAPS MAPPING
40W,WSPROP1C,Northeast Division,967,20,2.07,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Professional,VAPS MAPPING
40W,WSPROP1C,South Division,2149,35,1.63,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Professional,VAPS MAPPING
40W,WSPROP1C,West Division,1145,5,0.44,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Conference Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Conference Packages,Professional,VAPS MAPPING
40W,WSPROP1CA,Canada Division,98,2,2.04,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Professional,VAPS MAPPING
40W,WSPROP1CA,Central Division,2617,98,3.74,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Professional,VAPS MAPPING
40W,WSPROP1CA,Northeast Division,967,76,7.86,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Professional Cafe Package,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Collaboration & Breakroom,Caf� Packages,Professional,VAPS MAPPING
