unit_code,market_segment,year,quarter,unit_market_activations,unit_activations,market_activations,market_contribution_to_product,product_share_in_market,product_name,unit_description,unit_detaileddescription,unit_l1_purpose,unit_l2_core_solution,unit_l3_products,market_segment_was_invalid,period_start,period_label,previous_period_activations,previous_product_share_in_market,previous_market_contribution_to_product,activation_growth_rate,product_share_change,market_contribution_change,rolling_4_period_activations,rolling_4_period_product_share,rolling_4_period_market_contribution,recent_2_period_avg_activations,previous_2_period_avg_activations,momentum_score,recent_growth,longer_term_growth,trend_score,periods_observed_total,total_historical_unit_market_activations,total_historical_unit_activations,total_historical_market_activations,global_latest_period,is_global_latest_period,latest_unit_market_activations,latest_unit_activations,latest_market_activations,latest_product_share_in_market,latest_market_contribution_to_product,historical_product_share_in_market,historical_market_contribution_to_product,blended_product_share_in_market,blended_market_contribution_to_product,latest_activations,historical_activations,periods_observed,support_sufficient,low_support_pair,normalized_latest_activations,normalized_total_activations,normalized_periods_observed,normalized_market_activations,support_score,confidence_level,normalized_blended_product_share_in_market,normalized_blended_market_contribution_to_product,normalized_momentum_score,normalized_trend_score,recommendation_score,market_share_p25,market_share_median,market_share_p75,product_contribution_p80,recommendation_label,include_in_primary_recommendations,review_reason
40W,Non-Residential & GCs,2026,2,25,282,450,0.08865248226950355,0.05555555555555555,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,63.0,0.058118081180811805,0.07768187422934648,-0.6031746031746033,-0.0025625256252562525,0.010970608040157065,191.0,0.05471606862986336,0.08590578518005547,44.0,51.5,0.8543689320388349,-0.1456310679611651,-0.3838709677419355,-0.24092702787347325,10,691,7087,10570,2026-04-01,True,25,282,450,0.05555555555555555,0.08865248226950355,0.06537369914853358,0.09750246931000424,0.058991905813097864,0.0917499777336788,25,691,10,True,False,0.1889763779527559,0.2250328515111695,1.0,0.77737881508079,0.42264111182045294,Medium,0.15243971879610654,0.1355245029660117,0.23316886837498013,0.23888262260422768,0.21869915007073243,0.02049595290654893,0.031248712288447385,0.07531125827814569,0.09438105631427836,Declining Product,True,No review flag
MO5010,Professional Services,2026,2,9,97,574,0.09278350515463918,0.0156794425087108,50x10 Mobile Office or Similar,50x10 Mobile Office or Similar,Medium Mobile Office - 2 offices + Med. Open Area (up to 560 SF) - MO5010 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,57.0,0.03486238532110092,0.24050632911392406,-0.8421052631578947,-0.01918294281239012,-0.14772282395928488,136.0,0.027416564368970997,0.16841394196901222,33.0,35.0,0.9428571428571428,-0.05714285714285716,0.402061855670103,0.1265390279823269,10,283,1910,12991,2026-04-01,True,9,97,574,0.0156794425087108,0.09278350515463918,0.021784312216149643,0.1481675392670157,0.017816146906314397,0.11216791709397095,9,283,10,True,False,0.06299212598425197,0.09099868593955322,1.0,1.0,0.3538967841733318,Medium,0.03817352516317947,0.16662148047387518,0.265807962529274,0.44714320443137506,0.2180939444402897,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.12706104604091326,Low Priority,True,No review flag
20X,Home Builders & Developers,2026,2,13,62,471,0.20967741935483872,0.027600849256900213,20' COMBO W/10' OFFICE,Ground Level Office / Storage Combo - 20' x 8',Small Ground Level Office Combo (160 SF),Offices,Ground Level Offices,Ground Level Office / Storage Combo Units,0,2026-04-01,2026-Q2,49.0,0.044384057971014496,0.3223684210526316,-0.7346938775510203,-0.016783208714114282,-0.11269100169779286,146.0,0.03778106897493579,0.24945714017030213,31.0,42.0,0.7380952380952381,-0.26190476190476186,-0.35964912280701755,-0.30100250626566416,10,526,2142,10937,2026-04-01,True,13,62,471,0.027600849256900213,0.20967741935483872,0.04809362713724056,0.24556489262371614,0.03477332151501933,0.2222380349989458,13,526,10,True,False,0.09448818897637795,0.17082785808147175,1.0,0.8150807899461401,0.3743686954648614,Medium,0.08523111071229289,0.3342607275291131,0.19028103044496492,0.20483497688532196,0.21735823566103096,0.027555001847096874,0.04463358664670288,0.06954448824545598,0.17380877082015603,Declining Product,True,No review flag
MO3610,Professional Services,2026,2,29,263,574,0.11026615969581749,0.050522648083623695,36x10 Mobile Office or Similar,36x10 Mobile Office or Similar,Small Mobile Office - 1 office + Sm. Open Area (up to 360 SF) - MO3610 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,77.0,0.04709480122324159,0.16075156576200417,-0.6233766233766234,0.003427846860382104,-0.05048540606618668,259.0,0.0588247594163698,0.14628039921055175,53.0,76.5,0.6928104575163399,-0.30718954248366015,-0.24927536231884062,-0.28402387041773236,10,776,4825,12991,2026-04-01,True,29,263,574,0.050522648083623695,0.11026615969581749,0.05973366176583789,0.16082901554404144,0.053746502872398655,0.12796315924269586,29,776,10,True,False,0.2204724409448819,0.25295663600525625,1.0,1.0,0.4657001769325484,Medium,0.13788328452463236,0.19067798691964255,0.17357762777242047,0.21445758154219705,0.2162397720670141,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.11896421127287773,Declining Product,True,No review flag
40U,Home Builders & Developers,2026,2,14,88,471,0.1590909090909091,0.029723991507430998,40' COMBO W/15' OFFICE,Ground Level Office Combo / ftorage Combo - 40' u 8',Large Ground Level Office Combo (320 sq. ft.),Offices,Ground Level Offices,Ground Level Office / Storage Combo Units,0,2026-04-01,2026-Q2,28.0,0.025362318840579712,0.15135135135135136,-0.5,0.0043616726668512865,0.007739557739557729,88.0,0.024696979612017566,0.13560850112707698,21.0,23.0,0.9130434782608695,-0.08695652173913049,-0.3282442748091603,-0.18347162296714242,10,316,2335,10937,2026-04-01,True,14,88,471,0.029723991507430998,0.1590909090909091,0.02889274938282893,0.13533190578158458,0.029433056763820273,0.1507752579326455,14,316,10,True,False,0.10236220472440945,0.10183968462549277,1.0,0.8150807899461401,0.35297874026707976,Medium,0.07041142693929806,0.22542132253989172,0.2548111190306486,0.27144534741710763,0.2108335295485256,0.027555001847096874,0.04463358664670288,0.06954448824545598,0.1507752579326455,Declining Product,True,No review flag
MO3610,Subcontractors,2026,2,27,263,353,0.10266159695817491,0.0764872521246459,36x10 Mobile Office or Similar,36x10 Mobile Office or Similar,Small Mobile Office - 1 office + Sm. Open Area (up to 360 SF) - MO3610 or similar,Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,53.0,0.05975197294250282,0.11064718162839249,-0.49056603773584906,0.016735279182143077,-0.00798558467021758,212.0,0.07158142699797972,0.12139719566632168,40.0,66.0,0.6060606060606061,-0.3939393939393939,-0.009345794392523366,-0.24010195412064567,10,534,4825,8670,2026-04-01,True,27,263,353,0.0764872521246459,0.10266159695817491,0.061591695501730104,0.11067357512953369,0.07127380730662537,0.10546578931815048,27,534,10,True,False,0.2047244094488189,0.17345597897503284,1.0,0.6032315978456014,0.39268629573290825,Medium,0.18652302828451398,0.15641399023591152,0.1415797317436662,0.23935023134543235,0.21036113194302083,0.02710466556227557,0.03280193497162238,0.07439327922470437,0.11896421127287773,Declining Product,True,No review flag
30W,Professional Services,2026,2,11,96,574,0.11458333333333333,0.01916376306620209,30' OPEN BAY OFFICE,Ground Level Office - 30' x 10',Medium Size Ground Level Office (300 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,52.0,0.031804281345565746,0.21138211382113822,-0.7884615384615384,-0.012640518279363657,-0.0967987804878049,134.0,0.02870883808530723,0.17362396602648528,31.5,35.5,0.8873239436619719,-0.11267605633802813,-0.1728395061728395,-0.13674143627195268,10,395,2034,12991,2026-04-01,True,11,96,574,0.01916376306620209,0.11458333333333333,0.030405665460703564,0.19419862340216323,0.023098428904277605,0.1424486848574238,11,395,10,True,False,0.07874015748031496,0.12779237844940866,1.0,1.0,0.3722863875754032,Medium,0.05283230191989764,0.2127397658426812,0.245324405449088,0.2979295783139349,0.20799491971772385,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.11106962881022621,Declining Product,True,No review flag
40W,"Arts, Media, Hotels & Entertainment",2026,2,26,282,313,0.09219858156028368,0.08306709265175719,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,49.0,0.07480916030534351,0.06041923551171394,-0.4693877551020408,0.008257932346413671,0.031779346048569745,210.0,0.09511253060672457,0.08854613974211055,37.5,67.5,0.5555555555555556,-0.4444444444444444,-0.35779816513761464,-0.4097859327217125,10,729,7087,7114,2026-04-01,True,26,282,313,0.08306709265175719,0.09219858156028368,0.10247399493955581,0.1028643996049104,0.08985950845248669,0.09593161787590303,26,729,10,True,False,0.1968503937007874,0.23751642575558476,1.0,0.5314183123877917,0.40517021804850945,Medium,0.2380999119248258,0.1418932342642158,0.12295081967213117,0.14318220834830736,0.20665164832423966,0.02435183585941996,0.05648602943752183,0.08701889178607451,0.09438105631427836,Declining Product,True,No review flag
MO248,Non-Residential & GCs,2026,2,14,88,450,0.1590909090909091,0.03111111111111111,24x8 Mobile Office (20x8 Box),24x8 Mobile Office (20x8 Box),"Small Mobile Office - Open Space
(up to 192 SF) - MO248 or similar",Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,33.0,0.03044280442804428,0.14102564102564102,-0.5757575757575757,0.0006683066830668292,0.018065268065268064,107.0,0.030717417484967233,0.14506935953664263,23.5,30.0,0.7833333333333333,-0.21666666666666667,-0.1640625,-0.195625,10,333,2294,10570,2026-04-01,True,14,88,450,0.03111111111111111,0.1590909090909091,0.0315042573320719,0.14516129032258066,0.031248712288447385,0.15421554252199413,14,333,10,True,False,0.10236220472440945,0.10742444152431012,1.0,0.77737881508079,0.3511632076951309,Medium,0.07545002370729974,0.23066095277915463,0.20696721311475413,0.26455744761876315,0.20251873858805577,0.02049595290654893,0.031248712288447385,0.07531125827814569,0.12824215344376635,Declining Product,True,No review flag
10W,Non-Residential & GCs,2026,2,16,138,450,0.11594202898550725,0.035555555555555556,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,39.0,0.035977859778597784,0.13732394366197184,-0.5897435897435898,-0.00042230422304222887,-0.021381914676464595,125.0,0.03568202311107291,0.13425762251709603,27.5,35.0,0.7857142857142857,-0.2142857142857143,-0.1496598639455783,-0.1884353741496599,10,355,2554,10570,2026-04-01,True,16,138,450,0.035555555555555556,0.11594202898550725,0.03358561967833491,0.13899765074393108,0.03486607799852833,0.12401149660095559,16,355,10,True,False,0.11811023622047244,0.11465177398160316,1.0,0.77737881508079,0.3592045850788055,Medium,0.08548851775436693,0.18465951648927964,0.20784543325526933,0.2686321523128449,0.19832305588396743,0.02049595290654893,0.031248712288447385,0.07531125827814569,0.0946909082655227,Declining Product,True,No review flag
20X,Subcontractors,2026,2,14,62,353,0.22580645161290322,0.039660056657223795,20' COMBO W/10' OFFICE,Ground Level Office / Storage Combo - 20' x 8',Small Ground Level Office Combo (160 SF),Offices,Ground Level Offices,Ground Level Office / Storage Combo Units,0,2026-04-01,2026-Q2,30.0,0.033821871476888386,0.19736842105263158,-0.5333333333333333,0.005838185180335409,0.028438030560271638,137.0,0.04459559245369092,0.23349749428761063,22.0,46.5,0.4731182795698925,-0.5268817204301075,-0.3349514563106796,-0.45010961478233635,10,528,2142,8670,2026-04-01,True,14,62,353,0.039660056657223795,0.22580645161290322,0.06089965397923876,0.24649859943977592,0.04709391571992903,0.23304870335230868,14,528,10,True,False,0.10236220472440945,0.17148488830486203,1.0,0.6032315978456014,0.3561696423448052,Medium,0.11942179572864119,0.3507256167962094,0.09254362771020626,0.12032884991279004,0.19595516145851477,0.02710466556227557,0.03280193497162238,0.07439327922470437,0.17380877082015603,Declining Product,True,No review flag
20X,Professional Services,2026,2,11,62,574,0.1774193548387097,0.01916376306620209,20' COMBO W/10' OFFICE,Ground Level Office / Storage Combo - 20' x 8',Small Ground Level Office Combo (160 SF),Offices,Ground Level Offices,Ground Level Office / Storage Combo Units,0,2026-04-01,2026-Q2,21.0,0.012844036697247707,0.13815789473684212,-0.47619047619047616,0.006319726368954382,0.03926146010186757,71.0,0.016704625979831494,0.13218314289614874,16.0,19.5,0.8205128205128205,-0.17948717948717952,-0.36036036036036034,-0.25183645183645187,10,271,2142,12991,2026-04-01,True,11,62,574,0.01916376306620209,0.1774193548387097,0.020860595797090292,0.1265172735760971,0.01975765452201296,0.15960362639679526,11,271,10,True,False,0.07874015748031496,0.08705650459921156,1.0,1.0,0.3580288317278343,Medium,0.043561372067408996,0.23886712481779934,0.22068095838587642,0.23269973048202164,0.19358731259243625,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.17380877082015603,Declining Product,True,No review flag
25W,Professional Services,2026,2,12,89,574,0.1348314606741573,0.020905923344947737,25' OPEN BAY OFFICE,Ground Level Office - 25' x 10',Medium Size Ground Level Office (250 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,37.0,0.022629969418960245,0.16299559471365638,-0.6756756756756757,-0.0017240460740125078,-0.028164134039499078,120.0,0.027246656629132133,0.15315370343747026,24.5,35.5,0.6901408450704225,-0.3098591549295775,-0.4029850746268657,-0.3471095228084928,10,422,2364,12991,2026-04-01,True,12,89,574,0.020905923344947737,0.1348314606741573,0.0324840274035871,0.1785109983079526,0.024958259765471516,0.15011929884598565,12,422,10,True,False,0.08661417322834646,0.1366622864651774,1.0,1.0,0.37814676089273336,Medium,0.057993488961787625,0.2244222822056056,0.17259293465712308,0.17870392630662174,0.1803286931409853,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.10826047073138274,Declining Product,True,No review flag
MO248,Professional Services,2026,2,11,88,574,0.125,0.01916376306620209,24x8 Mobile Office (20x8 Box),24x8 Mobile Office (20x8 Box),"Small Mobile Office - Open Space
(up to 192 SF) - MO248 or similar",Offices,Mobile Offices,Mobile Offices,0,2026-04-01,2026-Q2,27.0,0.01651376146788991,0.11538461538461539,-0.5925925925925926,0.00265000159831218,0.009615384615384609,94.0,0.02187905556933506,0.12631640866043603,19.0,28.0,0.6785714285714286,-0.3214285714285714,-0.3037037037037037,-0.3143386243386243,10,308,2294,12991,2026-04-01,True,11,88,574,0.01916376306620209,0.125,0.023708721422523286,0.13426329555361813,0.020754498490914507,0.12824215344376635,11,308,10,True,False,0.07874015748031496,0.09921156373193167,1.0,1.0,0.3622831024242863,Medium,0.04632769791049028,0.19110290131685082,0.16832552693208436,0.1972767611945641,0.16971797456576165,0.018301523810239036,0.02772234168012859,0.06446669759578931,0.12824215344376635,Declining Product,True,No review flag
40W,Home Builders & Developers,2026,2,16,282,471,0.05673758865248227,0.03397027600849257,40' OPEN BAY OFFICE,Ground Level Office - 40' x 8',Large Ground Level Office (320 SF),Offices,Ground Level Offices,Standard Ground Level Offices,0,2026-04-01,2026-Q2,40.0,0.036231884057971016,0.04932182490752158,-0.6,-0.0022616080494784474,0.007415763744960689,166.0,0.043332078063639354,0.07157094863744151,28.0,55.0,0.509090909090909,-0.49090909090909096,-0.16582914572864327,-0.3608771128369119,10,494,7087,10937,2026-04-01,True,16,282,471,0.03397027600849257,0.05673758865248227,0.045167779098473075,0.06970509383378017,0.037889402089985744,0.061276215465936534,16,494,10,True,False,0.11811023622047244,0.16031537450722733,1.0,0.8150807899461401,0.37895704274930897,Medium,0.09387849635395148,0.0891122826582715,0.10581222056631892,0.17090117483071032,0.14962718218810644,0.027555001847096874,0.04463358664670288,0.06954448824545598,0.09438105631427836,Declining Product,True,No review flag
