unit_code,MARKET_SEGMENT_DESCRIPTION,vaps_code,Unit_Activations,Vaps_Associated_With_Unit,Vaps_Attach_Rate,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS,VAPS_DESCRIPTION,VAPS_L1_PURPOSE,VAPS_L2__CORE_NEED,VAPS_L2_PRODUCTS,VAPS_CUSTOMIZATION_COMPLEMENTARY_ALTERNATIVES,VAPS_MAIN_GROUP,VAPS_DETAILED_GROUP,VAPS_PACKAGE_TIER,VAPS_SOURCE
10W,Public Administration,FSSHIELD1,41,1,2.44,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Free-Standing Acrylic Shield,,,,,Accessories,,,VAPS - A La Carte
10W,"Arts, Media, Hotels & Entertainment",LIABILITYWVR,242,65,26.86,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,"Educational, Membership & Religious Organizations",LIABILITYWVR,46,23,50.00,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Engineering & Architecture,LIABILITYWVR,43,15,34.88,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Health Care,LIABILITYWVR,7,4,57.14,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Highway & Heavy Construction,LIABILITYWVR,64,20,31.25,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Home Builders & Developers,LIABILITYWVR,422,156,36.97,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Manufacturing,LIABILITYWVR,131,52,39.69,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Mining & Utilities,LIABILITYWVR,84,22,26.19,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Non-Residential & GCs,LIABILITYWVR,346,99,28.61,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Other,LIABILITYWVR,43,24,55.81,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Professional Services,LIABILITYWVR,563,130,23.09,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Public Administration,LIABILITYWVR,41,24,58.54,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Retail & Wholesale Trade,LIABILITYWVR,205,86,41.95,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Subcontractors,LIABILITYWVR,234,97,41.45,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,,LIABILITYWVR,16,9,56.25,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Loss Damage Waiver,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,"Arts, Media, Hotels & Entertainment",PROP1AP,242,17,7.02,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Highway & Heavy Construction,PROP1AP,64,2,3.13,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Home Builders & Developers,PROP1AP,422,7,1.66,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Manufacturing,PROP1AP,131,2,1.53,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Mining & Utilities,PROP1AP,84,1,1.19,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Non-Residential & GCs,PROP1AP,346,1,0.29,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Professional Services,PROP1AP,563,4,0.71,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Retail & Wholesale Trade,PROP1AP,205,2,0.98,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,Subcontractors,PROP1AP,234,1,0.43,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,,PROP1AP,16,2,12.50,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Air Purifier,,,,,Appliances,,,VAPS - A La Carte
10W,"Arts, Media, Hotels & Entertainment",WS1DATAV2,242,26,10.74,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,"Educational, Membership & Religious Organizations",WS1DATAV2,46,4,8.70,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Engineering & Architecture,WS1DATAV2,43,5,11.63,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Highway & Heavy Construction,WS1DATAV2,64,9,14.06,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Home Builders & Developers,WS1DATAV2,422,84,19.91,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Manufacturing,WS1DATAV2,131,15,11.45,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Mining & Utilities,WS1DATAV2,84,10,11.90,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Non-Residential & GCs,WS1DATAV2,346,59,17.05,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Other,WS1DATAV2,43,9,20.93,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Professional Services,WS1DATAV2,563,87,15.45,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Public Administration,WS1DATAV2,41,9,21.95,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Retail & Wholesale Trade,WS1DATAV2,205,29,14.15,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,Subcontractors,WS1DATAV2,234,37,15.81,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,,WS1DATAV2,16,2,12.50,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Data Hub - Rental,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Power & Connectivity,Data & Communications,Unique,VAPS MAPPING
10W,"Educational, Membership & Religious Organizations",WS3502,46,1,2.17,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Home Builders & Developers,WS3502,422,3,0.71,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Manufacturing,WS3502,131,1,0.76,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Mining & Utilities,WS3502,84,1,1.19,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Non-Residential & GCs,WS3502,346,2,0.58,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Public Administration,WS3502,41,1,2.44,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Retail & Wholesale Trade,WS3502,205,1,0.49,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Subcontractors,WS3502,234,1,0.43,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Sm. Desk - 4ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,"Arts, Media, Hotels & Entertainment",WS3508,242,9,3.72,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,Other,WS3508,43,1,2.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,Professional Services,WS3508,563,9,1.60,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture - Rental,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,,VAPS MAPPING
10W,Retail & Wholesale Trade,WS3518,205,1,0.49,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Furniture Return,,,,,Furniture,,,VAPS - A La Carte
10W,Mining & Utilities,WS3548,84,1,1.19,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,TechSuite/BIM,,,,,Miscellaneous,,,VAPS - A La Carte
10W,Highway & Heavy Construction,WS3705,64,1,1.56,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Appliance - Rental,,,,,Appliances,,,VAPS - A La Carte
10W,"Arts, Media, Hotels & Entertainment",WS4020,242,15,6.20,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,"Educational, Membership & Religious Organizations",WS4020,46,5,10.87,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Engineering & Architecture,WS4020,43,4,9.30,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Highway & Heavy Construction,WS4020,64,6,9.38,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Home Builders & Developers,WS4020,422,32,7.58,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Manufacturing,WS4020,131,7,5.34,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Mining & Utilities,WS4020,84,12,14.29,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Non-Residential & GCs,WS4020,346,12,3.47,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Other,WS4020,43,2,4.65,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Professional Services,WS4020,563,25,4.44,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Public Administration,WS4020,41,3,7.32,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Retail & Wholesale Trade,WS4020,205,22,10.73,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Subcontractors,WS4020,234,20,8.55,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,,WS4020,16,1,6.25,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,General Liability Insurance,Office & Meeting Space,Ground Level Spaces,Ground Level Offices,L3 - Complete Your Space,Security & Protection,Protection Plans,Unique,VAPS MAPPING
10W,Home Builders & Developers,WS4301,422,1,0.24,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Generic Ramp Rental,,,,,Entrances,,,VAPS - A La Carte
10W,"Educational, Membership & Religious Organizations",WS5000,46,1,2.17,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Engineering & Architecture,WS5000,43,4,9.30,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Home Builders & Developers,WS5000,422,10,2.37,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Mining & Utilities,WS5000,84,7,8.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Non-Residential & GCs,WS5000,346,2,0.58,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Other,WS5000,43,1,2.33,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Professional Services,WS5000,563,8,1.42,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Retail & Wholesale Trade,WS5000,205,3,1.46,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,Subcontractors,WS5000,234,5,2.14,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,,WS5000,16,1,6.25,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Standard Desk - 5ft x 2.5ft,,,,,Furniture,,,VAPS - A La Carte
10W,"Arts, Media, Hotels & Entertainment",WS5002,242,2,0.83,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
10W,"Educational, Membership & Religious Organizations",WS5002,46,12,26.09,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
10W,Home Builders & Developers,WS5002,422,7,1.66,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
10W,Manufacturing,WS5002,131,11,8.40,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
10W,Mining & Utilities,WS5002,84,4,4.76,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
10W,Non-Residential & GCs,WS5002,346,4,1.16,10' OPEN BAY OFFICE,Ground Level Office - 10' x 8',Small Ground Level Office (80 SF),Offices,Ground Level Offices,Standard Ground Level Offices,Folding Table - 6ft,Large-Scale Office & Storage,Clearspan & Complexes,Clearspan,L3 - Complete Your Space,Collaboration & Breakroom,Picnic Tables,Unique,VAPS MAPPING
